z_m,strain_verdadero,strain_das,strain_das_ruidoso
302,-3.39964e-11,-3.35015e-11,-3.35015e-11
304,-3.94922e-11,-3.89173e-11,-3.89173e-11
306,-4.44343e-11,-4.37875e-11,-4.37875e-11
308,-4.87535e-11,-4.80437e-11,-4.80437e-11
310,-5.23891e-11,-5.16264e-11,-5.16264e-11
312,-5.52902e-11,-5.44853e-11,-5.44853e-11
314,-5.74161e-11,-5.65802e-11,-5.65802e-11
316,-5.8737e-11,-5.78819e-11,-5.78819e-11
318,-5.92344e-11,-5.83721e-11,-5.83721e-11
320,-5.89013e-11,-5.80438e-11,-5.80438e-11
322,-5.77424e-11,-5.69018e-11,-5.69018e-11
324,-5.57739e-11,-5.49619e-11,-5.49619e-11
326,-5.30234e-11,-5.22515e-11,-5.22515e-11
328,-4.95296e-11,-4.88085e-11,-4.88085e-11
330,-4.53413e-11,-4.46812e-11,-4.46812e-11
332,-4.05173e-11,-3.99275e-11,-3.99275e-11
334,-3.51252e-11,-3.46139e-11,-3.46139e-11
336,-2.92407e-11,-2.88151e-11,-2.88151e-11
338,-2.29462e-11,-2.26122e-11,-2.26122e-11
340,-1.633e-11,-1.60923e-11,-1.60923e-11
342,-9.4849e-12,-9.34682e-12,-9.34682e-12
344,-2.50677e-12,-2.47027e-12,-2.47027e-12
346,4.50651e-12,4.44091e-12,4.44091e-12
348,1.14566e-11,1.12898e-11,1.12898e-11
350,1.82461e-11,1.79805e-11,1.79805e-11
352,2.47797e-11,2.4419e-11,2.4419e-11
354,3.0966e-11,3.05152e-11,3.05152e-11
356,3.6718e-11,3.61835e-11,3.61835e-11
358,4.19553e-11,4.13446e-11,4.13446e-11
360,4.66044e-11,4.59259e-11,4.59259e-11
362,5.06e-11,4.98634e-11,4.98634e-11
364,5.38862e-11,5.31018e-11,5.31018e-11
366,5.64169e-11,5.55956e-11,5.55956e-11
368,5.81566e-11,5.731e-11,5.731e-11
370,5.9081e-11,5.82209e-11,5.82209e-11
372,5.9177e-11,5.83155e-11,5.83155e-11
374,5.84433e-11,5.75925e-11,5.75925e-11
376,5.68902e-11,5.60621e-11,5.60621e-11
378,5.45395e-11,5.37456e-11,5.37456e-11
380,5.14242e-11,5.06756e-11,5.06756e-11
382,4.75878e-11,4.68951e-11,4.68951e-11
384,4.30843e-11,4.24571e-11,4.24571e-11
386,3.79767e-11,3.74239e-11,3.74239e-11
388,3.23367e-11,3.18659e-11,3.18659e-11
390,2.62432e-11,2.58612e-11,2.58612e-11
392,1.97819e-11,1.94939e-11,1.94939e-11
394,1.30432e-11,1.28533e-11,1.28533e-11
396,6.12159e-12,6.03248e-12,6.03248e-12
